"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V1",1e-50,5e-49,NA,-0.876432612127227,-3.52371962994066,200,"LDHA;DHX15;PSMC6;UBE2L3;TARDBP;TRA2B;YWHAE;EIF4E;SNRPD1;SNRPB2;SRSF3;SRSF1;PRDX3;XRCC6;HNRNPA3;XPO1;SSB;RAN;SYNCRIP;HDAC2;SET;VBP1;SRSF2;CCT2;PSMD1;PTGES3;SRSF7;YWHAQ;SERBP1;PSMA4;EIF4G2;PGK1;EIF4A1;PSMB2;CCT5;HNRNPU;UBA2;NME1;HSPE1;PA2G4;NPM1;HNRNPR;HSP90AB1;RAD23B;TFDP1;RANBP1;HSPD1;SF3B3;HNRNPA2B1;HNRNPC;CBX3;HNRNPD;PPIA;GNL3;ABCE1;C1QBP;HDDC2;CCT7;SSBP1;PSMA7;CNBP;CCT4;VDAC1;TXNL4A;TCP1;ACP1;PSMD7;PSMD14;MRPL9;PSMA1;G3BP1;EXOSC7;PWP1;ODC1;USP1;ILF2;ERH;EIF1AX;PHB1;COPS5;DDX18;NDUFAB1;SNRPG;CSTF2;SNRPA;PCBP1;RNPS1;CDK4;EIF2S1;KPNB1;PSMA2;APEX1;EIF3J;CYC1;AP3S1;PSMD3;EIF3B;GOT2;PSMD8;PCNA;NOLC1;CLNS1A;EIF4H;SNRPD3;MCM6;CCT3;RSL1D1;CTPS1;SNRPA1;MCM7;IARS1;PRDX4;GLO1;RFC4;POLD2;FBL;HDGF;NOP16;H2AZ1;DDX21;TRIM28;MCM4;POLE3;KARS1;HNRNPA1;SLC25A3;ETF1;ORC2;SRM;NHP2;DUT;XPOT;NOP56;MRPS18B;SRPK1;GSPT1;EIF2S2;SF3A1;LSM2;FAM120A;RRM1;EPRS1;PSMB3;RRP9;STARD7;U2AF1;MRPL23;PHB2;PRPF31;MCM2;TYMS;AIMP2;SNRPD2;COX5A;TUFM;PPM1G;CDC45;RUVBL2;PSMC4;CAD;VDAC3;CCNA2;MAD2L1"
"HALLMARK_E2F_TARGETS",1.44929874549475e-40,3.62324686373687e-39,1.6595653414844,-0.779152343094567,-3.13260183166032,200,"AK2;PAICS;TRA2B;SRSF1;ANP32E;XRCC6;XPO1;RAN;SYNCRIP;SRSF2;NME1;CNOT9;PA2G4;SSRP1;RANBP1;HNRNPD;PPP1R8;EXOSC8;PNN;STAG1;ZW10;TMPO;NUDT21;USP1;PHF5A;LBR;ILF3;DDX39A;CSE1L;CDK4;EIF2S1;LYAR;RAD1;PCNA;NOLC1;NUP153;LMNB1;MCM6;NASP;CTPS1;SNRPB;MCM7;PRDX4;RBBP7;POLD2;NUP205;H2AZ1;SMC3;TUBB;TIPIN;HUS1;MCM4;SLBP;RPA3;GINS1;UNG;ORC2;NUP107;DUT;NOP56;TUBG1;ING3;RRM2;HMGB3;GSPT1;PRPS1;RFC3;LIG1;NAA38;DNMT1;HMGA1;TFRC;RFC2;CCNE1;GINS3;POLD3;TBRG4;MCM3;ASF1A;MLH1;MCM2;MMS22L;SUV39H1;RAD21;MSH2;CDC25A;POP7;DCTPP1;PLK4;EZH2;PDS5B;CHEK1;RNASEH2A;SMC1A;NBN;SPC25;SMC4;HMGB2;E2F8;WEE1;POLD1;DSCC1;MAD2L1;MYBL2;POLA2;KIF22;TRIP13;DONSON;SPC24;HELLS;MCM5;BARD1;LUC7L3;PRKDC;SHMT1;IPO7;PSIP1;DCK;TIMELESS;MYC;CKS1B;UBR7;ATAD2;CTCF;BUB1B;BRCA2;AURKB;RAD51C;CENPM;MTHFD2;SMC6;PTTG1;RAD50;TK1;ASF1B;STMN1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",5.04022448663261e-30,8.40037414438769e-29,1.42456271623384,-0.713382332423934,-2.86817182933645,200,"LDHA;DLAT;ATP5F1C;MRPS22;PRDX3;GPI;MRPL35;ATP5MC3;AFG3L2;TOMM22;TIMM17A;NDUFA9;NDUFS1;FH;COX11;ATP5F1B;CYCS;MRPS15;ACAT1;SDHB;VDAC1;ETFA;SUCLG1;ATP5MC1;FXN;NDUFB6;NDUFA5;ACAA2;TIMM50;NDUFAB1;ATP5F1A;NDUFS3;HSPA9;OPA1;PDHB;MRPL11;UQCRC2;GRPEL1;NDUFV2;ATP5PB;UQCRC1;TIMM10;CYC1;GOT2;NDUFC1;PDHX;SLC25A5;IDH3A;MRPL15;NDUFA7;ATP5PD;ISCA1;COX7B;PDHA1;IDH3B;SUPV3L1;TIMM8B;UQCRFS1;NDUFS6;SLC25A11;MDH2;VDAC2;NDUFB4;LDHB;NDUFC2;ATP5PF;NDUFA4;MTX2;ATP5PO;HSD17B10;NDUFA8;IMMT;SLC25A3;POLR2F;DLD;NDUFB8;SDHD;CS;MPC1;ATP5MF;TIMM13;NDUFA3;UQCR10;NDUFB3;NDUFA6;PHB2;OXA1L;IDH1;ATP5MG;COX10;COX7A2;DECR1;FDX1;TIMM9;OGDH;UQCRQ;COX5A;MRPS30;ABCB7;SDHC;CYB5A;COX7C;VDAC3;ATP5MC2;NDUFS4;DLST;COX6C;UQCRH;MRPL34;ACADM;COX6A1;TOMM70;NQO2;RHOT1;NDUFA1;NDUFS2;NDUFV1;NDUFB2;MDH1;SUCLA2;SDHA;COX17;MRPS12;IDH3G;ETFDH;LRPPRC;NDUFB7;MTRF1;ECI1;NDUFS8;ATP5F1D;ECH1;SLC25A12;COX5B;COX8A"
"HALLMARK_G2M_CHECKPOINT",7.04939136033309e-24,8.81173920041636e-23,1.26273988547916,-0.661310822294586,-2.65881699718559,200,"SRSF10;TRA2B;SNRPD1;SRSF1;XPO1;SYNCRIP;SRSF2;HNRNPU;RAD23B;TFDP1;UCK2;HNRNPD;NCL;AMD1;MNAT1;LIG3;STAG1;G3BP1;EWSR1;ODC1;TMPO;HMGN2;PRP4K;LBR;DKC1;ILF3;DDX39A;SAP30;CDK4;DR1;KPNB1;SFPQ;RBM14;NUP50;NOLC1;LMNB1;MCM6;NASP;HSPA8;CDC7;ORC5;H2AZ1;HUS1;FBXO5;CUL3;HMGB3;GSPT1;HMGA1;PRMT5;MCM3;CDC6;DTYMK;MCM2;PURA;SUV39H1;RAD21;NSD2;CDC25A;CUL4A;PBK;GINS2;PLK4;DBF4;EZH2;PDS5B;SMC2;CHEK1;SMC1A;RAD54L;CDC45;SMC4;CHAF1A;CCNA2;MAD2L1;FANCC;MYBL2;H2AZ2;POLA2;RBL1;KIF22;E2F4;MCM5;BARD1;SLC7A1;ATF5;HIRA;SQLE;SLC38A1;MYC;KIF11;KMT5A;CDC27;CKS1B;KIF15;CTCF;BRCA2;AURKB;SMARCC1;EXO1;SLC7A5;E2F2;CUL5;PTTG1;BUB3;KATNA1;STMN1;UPF1"
"HALLMARK_MTORC1_SIGNALING",2.91085193426438e-22,2.91085193426438e-21,1.22105375677186,-0.645554056092194,-2.59546651752122,200,"LDHA;PSMC6;EEF1E1;PPA1;ENO1;PSMA4;PGK1;HK2;GPI;HSPE1;PSMA3;HSPD1;UBE2D3;POLR3G;CCT6A;PPIA;TPI1;GMPS;ALDOA;STIP1;PSMD14;ATP5MC1;GAPDH;ERO1A;PGM1;UCHL5;COPS5;DDX39A;PSMG1;SORD;HSPA9;PSMD12;CACYBP;TOMM40;SLC37A4;BCAT1;ACTR3;SCD;NUP205;MCM4;MTHFD2L;PDAP1;ACLY;IMMT;CYP51A1;PSMC2;PSME3;UNG;HMGCS1;ETF1;NFYC;PDK1;TUBG1;ACSL3;ABCF2;RRM2;CORO1A;EIF2S2;SHMT2;NMT1;NUFIP1;PNP;CYB5B;ATP2A2;EPRS1;RRP9;PSMD13;TFRC;GSR;TMEM97;IDH1;TCEA1;MCM2;PSMB5;P4HA1;EBP;PNO1;IDI1;CDC25A;RDH11;ELOVL6;CALR;ASNS;INSIG1;PSMC4;NAMPT;HSPA5;SLC2A1;HSPA4;PSAT1;ACACA;HMBS;HPRT1;DHFR;SERP1;SSR1;TBK1;RPN1;SQLE;SDF2L1;FADS2;PITPNB;GBE1;HMGCR;FKBP2;DHCR7;TXNRD1;STARD4;PHGDH;SLC7A5;MTHFD2;GOT1;SLC1A5;GCLC"
"HALLMARK_MYC_TARGETS_V2",5.12319460151248e-18,4.26932883459374e-17,1.0959292864312,-0.871025262292712,-2.94638459816135,58,"HK2;HSPE1;PA2G4;NPM1;HSPD1;UTP20;CBX3;GNL3;MRTO4;TCOF1;NDUFAF4;PHB1;DDX18;SORD;CDK4;PRMT3;NOLC1;LAS1L;SUPV3L1;MPHOSPH10;NOP16;IPO4;NIP7;WDR43;BYSL;IMP4;MCM4;RABEPK;PES1;UNG;SRM;NOP56;RRP9;FARSA;TBRG4;TMEM97;TFB2M;AIMP2;DCTPP1;PLK4;GRWD1;EXOSC5;NOP2;PPRC1;PPAN;SLC19A1;MYBBP1A;MCM5;PUS1;RRP12;WDR74;NOC4L;MYC"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",6.36740180192836e-17,4.54814414423454e-16,1.05746357275086,0.638263197905633,2.15763170375903,199,"CDKN1A;TAP1;IER5;ZC3H12A;IFIT2;DUSP5;ZFP36;BTG2;CCL4;DRAM1;SERPINE1;ATF3;CLCF1;TRAF1;SNN;PTGER4;EGR2;TNFSF9;PLAU;SQSTM1;EFNA1;IRF1;SAT1;PTPRE;PHLDA1;DNAJB4;SMAD3;HBEGF;CD83;IL23A;KLF9;FOSL1;GPR183;DUSP1;NFAT5;JUNB;RELB;RHOB;FOSB;PPP1R15A;LAMB3;FOS;CD44;PDE4B;BTG1;SGK1;STAT5A;SPSB1;NFKB2;ICAM1;MXD1;CCND1;CD69;PLAUR;LITAF;TGIF1;EGR3;SERPINB8;CCRL2;CFLAR;GADD45B;NFKBIE;CD80;CXCL10;GEM;PNRC1;TUBB2A;BCL2A1;CCL5;BCL3;GCH1;SDC4;IL1B;TNIP2;TSC22D1;PLK2;FOSL2;EDN1;NINJ1;ACKR3;TNFAIP2;CSF1;IRS2;JUN;B4GALT5;TNFAIP8;NR4A1;SOCS3;RNF19B;ZBTB10;IL1A;B4GALT1;EHD1;DENND5A;TANK;TNF;HES1;NFKBIA;SLC2A6;RCAN1;SPHK1;MARCKS;PLEK;MCL1;IL6ST;GFPT2;NR4A3;TNFRSF9;IL18;NR4A2;CXCL11;TNIP1;KDM6B;TNC;RIGI;SIK1;PMEPA1;BIRC3;KYNU;DUSP4;TNFAIP6;LIF;IL15RA;ICOSLG;FJX1;TNFAIP3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",5.22590869260733e-14,3.26619293287958e-13,0.965327754226083,0.608917711580009,2.058430070536,199,"TXNIP;CDKN1A;MVP;HELZ2;TAP1;SLAMF7;RNF31;IFIT2;STAT3;CIITA;STAT2;PML;CD74;IRF1;HLA-DMA;SOCS1;IL18BP;IRF7;CD274;ZNFX1;CSF2RB;RNF213;IFIT3;NCOA3;ZBP1;IRF9;MT2A;OAS2;DHX58;CMTR1;IFIT1;RSAD2;ST3GAL5;PARP14;HERC6;SAMD9L;FAS;LCP2;PDE4B;BTG1;BST2;LGALS3BP;TOR1B;TRIM26;ICAM1;IRF4;HLA-DQA1;EPSTI1;CD86;OASL;CD69;TRAFD1;B2M;RBCK1;IFI44L;IFNAR2;DDX60;HLA-DRB1;XAF1;FPR1;MX1;STAT1;IFI44;CD40;IRF5;IL10RA;GPR18;HLA-B;JAK2;IL2RB;UBE2L6;CXCL10;HLA-A;PARP12;CCL5;IFI27;OAS3;IFITM3;LYSMD2;NLRC5;IFI35;GCH1;FGL2;USP18;TDRD7;ITGB7;RIPK1;ARID5B;APOL6;P2RY14;EIF4E3;HIF1A;CASP8;VAMP5;SELP;SP110;IRF2;TNFAIP2;IFITM2;NOD1;PTPN6;RTP4;ISG20;SOCS3;TAPBP;LATS2;CASP4;NFKBIA;ADAR;CASP1;BATF2;LY6E;STAT4;IL15;CMPK2;CXCL11;BANK1;CXCL9;MARCHF1;SAMHD1;GBP4;RIGI;IL7;IL4R;TNFAIP6;PLSCR1;TNFSF10;ST8SIA4;IL15RA;TNFAIP3;CFH"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",9.07132978377525e-13,5.03962765765292e-12,0.921426003494898,0.696923330762551,2.18032085083474,97,"TXNIP;HELZ2;TAP1;TMEM140;RNF31;SELL;IFIT2;STAT2;PROCR;CD74;LAMP3;IRF1;IRF7;OAS1;IFIT3;IRF9;DHX58;CMTR1;RSAD2;PARP14;HERC6;SAMD9L;BST2;LGALS3BP;TRIM5;GMPR;TRIM26;EPSTI1;OASL;TRAFD1;B2M;IFI44L;DDX60;PARP9;MX1;IFI44;CCRL2;UBE2L6;MOV10;CXCL10;PARP12;IFITM1;IFI27;IFITM3;IFI35;USP18;TDRD7;CNP;CASP8;SP110;IRF2;GBP2;IFITM2;CSF1;UBA7;RTP4;HLA-C;ISG20;ADAR;CASP1;BATF2;LY6E;NUB1;IL15;CMPK2;SAMD9;CXCL11;TENT5A;GBP4;IL7"
"HALLMARK_MYOGENESIS",5.35544853944961e-11,2.6777242697248e-10,0.851339057116899,0.566479345581132,1.91538104754607,200,"CDKN1A;AGRN;CAMK2B;GSN;SIRT2;SH3BGR;FXYD1;ATP6AP1;DENND2B;LPIN1;TCAP;HDAC5;MYOM2;APOD;MYL11;CRAT;HBEGF;CHRNA1;MYL4;SLC6A8;CKB;SPEG;SGCA;DAPK2;MYOM1;PDLIM7;SORBS1;MAPRE3;MEF2D;ADCY9;SORBS3;TNNT1;EPHB3;NAV2;PICK1;DMPK;PSEN2;ACTN3;BIN1;PRNP;GABARAPL2;HRC;RYR1;VIPR1;ITGB5;COL15A1;PLXNB2;MYH9;ITGA7;GNAO1;PTP4A3;GADD45B;AEBP1;MYBPC3;FABP3;TAGLN;CTF1;CD36;CASQ1;SMTN;ACHE;PC;GAA;SPTAN1;TNNT3;COL1A1;SYNGR2;TPM2;SPARC;MEF2A;MRAS;GPX3;COL4A2;TSC2;FOXO4;FKBP1B;SPHK1;NCAM1;TNNC1;TNNI2;MYL2;SH2B1;ACTA1;AK1;ITGB1;COL6A3;EIF4A2;LARGE1;MYOZ1;CHRNB1;DES;CKM;FST;MYBPH;MB;WWTR1;MYH7;PDE4DIP;ENO3;KCNH2;FGF2;ATP2A1;CFD;DTNA;REEP1;NOS1;ERBB3;TNNC2;ITGB4;IGF1;CRYAB"
